"Reference","Value","Footprint","Qty"
"H5","Rate","SynthStuff:Pot_Cutout_Medium_v2","1"
"H6,H7","-- mixed values --","SynthStuff:Pot_Cutout_Tiny","2"
"H17","Manual Trigger","SynthStuff:MX_switch_Cutout","1"
